N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float,m,is_reference_M,reference_error_at_max_M,excess_ratio_to_max_M,log10_excess_ratio_to_max_M
6,40,blaschke_mu_0p3,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625,0.82149375,0.82149375,['1.0'],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,0.82149375,1.0,0.0
6,40,blaschke_mu_0p3,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,alpha^8,alpha,8,1,0.0318644812890625,0.0318644812890625,0.0318644812890625,0.0,0.0318644812890625,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,mu^3,mu,3,2,0.027,0.027,0.027,0.0,0.027,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,alpha^9,alpha,9,1,0.020711912837890625,0.020711912837890624,0.020711912837890624,0.0,0.020711912837890624,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,alpha^10,alpha,10,1,0.01346274334462890625,0.013462743344628906,0.013462743344628906,0.0,0.013462743344628906,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,alpha^11,alpha,11,1,0.0087507831740087890625,0.00875078317400879,0.00875078317400879,0.0,0.00875078317400879,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,alpha^12,alpha,12,1,0.005688009063105712890625,0.005688009063105713,0.005688009063105713,0.0,0.005688009063105713,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,alpha^13,alpha,13,1,0.00369720589101871337890625,0.0036972058910187135,0.0036972058910187135,0.0,0.0036972058910187135,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,mu^5,mu,5,2,0.00243,0.00243,0.00243,0.0,0.00243,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,alpha^14,alpha,14,1,0.0024031838291621636962890625,0.0024031838291621636,0.0024031838291621636,0.0,0.0024031838291621636,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,alpha^15,alpha,15,1,0.001562069488955406402587890625,0.0015620694889554065,0.0015620694889554065,0.0,0.0015620694889554065,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,alpha^16,alpha,16,1,0.00101534516782101416168212890625,0.0010153451678210142,0.0010153451678210142,0.0,0.0010153451678210142,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,mu^6,mu,6,2,0.000729,0.000729,0.000729,0.0,0.000729,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,alpha^17,alpha,17,1,0.0006599743590836592050933837890625,0.0006599743590836592,0.0006599743590836592,0.0,0.0006599743590836592,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,40,blaschke_mu_0p3,alpha^18,alpha,18,1,0.000428983333404378483310699462890625,0.0004289833334043785,0.0004289833334043785,0.0,0.0004289833334043785,nan,,[],1.46190099488720381501597656246745910017171271179016710007536621452572489732314088868156297e-179,1.4619009948872038e-179,34,False,,,
6,48,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.00000714264223622027887320653311185957983372187169833309084005360167071158392574986601805145068,7.142642236220279e-06,['0.649992857357763779721126793466888140420166278128301666909159946398329288416074250133981949'],2.00941859447751565494174454806230314700181632915499529441539081358867385050444636204630682e-179,2.0094185944775157e-179,42,False,7.142642236220279e-06,1.0,0.0
6,48,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.0488924497757210225611191565713529431533463868061605967814757009271439670807574591337564307,0.04889244977572102,['(0.405828236300356229807144174500781475757893108794630585448944173429275733358382588497101363 - 0.0459622012115895395534124734862099149086523267198789702992761418954570184097003635198103961j)'],2.00941859447751565494174454806230314700181632915499529441539081358867385050444636204630682e-179,2.0094185944775157e-179,42,False,0.04889244977572102,1.0,0.0
6,48,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,0.0722125972397613583512364038483306406228696300118614931239714245968892186150381294038984225,0.07221259723976135,"['(0.331039407607637567874809352638404389363228152303400547483319851696613323742466950378983535 - 0.0652013372215549029097646628014605988347722888850233275147779580550750746136497863064133173j)', '(0.331039407607637567874809352638404389363228152303400547483319851696613323742466950378983535 + 0.0652013372215549029097646628014605988347722888850233275147779580550750746136497863064133173j)']",2.00941859447751565494174454806230314700181632915499529441539081358867385050444636204630682e-179,2.0094185944775157e-179,42,False,0.07221259723976135,1.0,0.0
