name,mode,coefficient_present,coefficient_frobenius_upper,residual_frobenius_upper,coefficient_sha256,precision_bits
alpha^16,-16,True,3.660319346805568e-05,5.184467572350423e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-15,True,2.638279388617566e-05,5.569702637354124e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-14,True,2.4117909657574658e-05,5.1675106486455876e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-13,True,4.2774184364867266e-05,5.659005076577526e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-12,True,2.9508802118028972e-05,4.440085464289543e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-11,True,3.534465652589485e-05,4.827006859083993e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-10,True,2.0965214348644662e-05,3.90328369904114e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-9,True,4.671124089423322e-05,8.088295951095186e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-8,True,2.3615084701495414e-05,4.589581765085059e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-7,True,5.105328001287082e-05,5.255026083547483e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-6,True,1.9092128319914413e-05,4.55021621979026e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-5,True,2.9436996448745403e-05,5.293355110873878e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-4,True,2.3894040807189173e-05,5.2697010086230295e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
