theta,branch,weighted_kernel,K_tail,phi_abs
0.06135923151542565,2,1.4001928420336444e-25,2.3253858677638757e-25,0.6021335475733711
0.06135923151542565,0,1.4001928420336444e-25,,
0.06749515466696822,1,1.1357640019027728e-228,2.85380735080653e-228,0.39798201570326336
0.06749515466696822,2,1.4564138318809407e-25,2.417598810298373e-25,0.6024216365746781
0.06749515466696822,0,1.4564138318809407e-25,,
0.07363107781851078,1,6.520751926028704e-228,1.6394407269871672e-227,0.3977424629441785
0.07363107781851078,2,1.5204969083053972e-25,2.522653163910675e-25,0.6027372014741368
0.07363107781851078,0,1.5204969083053972e-25,,
0.07976700097005335,1,3.729392910993516e-227,9.382550732901137e-227,0.39748177411030816
0.07976700097005335,2,1.5932478181394296e-25,2.6418504285279197e-25,0.6030802504694455
0.07976700097005335,0,1.5932478181394296e-25,,
0.0859029241215959,1,2.124103853880404e-226,5.347695178005916e-226,0.3971998745583801
0.0859029241215959,2,1.6756016636371456e-25,2.7766997532099197e-25,0.603450791429688
0.0859029241215959,0,1.6756016636371456e-25,,
0.09203884727313848,1,1.2044190817406132e-225,3.034590938101303e-225,0.3968966843663614
0.09203884727313848,2,1.7686417563878004e-25,2.9289478818677857e-25,0.6038488316357272
0.09203884727313848,0,1.7686417563878004e-25,,
0.09817477042468103,1,6.796915211423126e-225,1.7139165600333446e-224,0.3965721184986328
0.09817477042468103,2,1.8736218582596925e-25,3.1006144361284226e-25,0.6042743775002182
0.09817477042468103,0,1.8736218582596925e-25,,
0.1043106935762236,1,3.816343833852962e-224,9.631732889900152e-224,0.39622608698532175
0.1043106935762236,2,1.9919924034018135e-25,3.2940334612321535e-25,0.6047274342673788
0.1043106935762236,0,1.9919924034018135e-25,,
0.11044661672776616,1,2.1313496487617735e-223,5.3841200203022684e-223,0.39585849511618393
0.11044661672776616,2,2.125431411251312e-25,3.511902339789251e-25,0.6052080056926807
0.11044661672776616,0,2.125431411251312e-25,,
0.11658253987930874,1,1.1835994400039839e-222,2.992898838558422e-222,0.39546924364943914
0.11658253987930874,2,2.275880938953254e-25,3.757339391530976e-25,0.6057160937026551
0.11658253987930874,0,2.275880938953254e-25,,
0.1227184630308513,1,6.533864512988417e-222,1.6538991046793978e-221,0.3950582290359836
0.1227184630308513,2,2.4455900872113817e-25,4.0339517318267675e-25,0.6062516980350434
0.1227184630308513,0,2.4455900872113817e-25,,
0.12885438618239387,1,3.5844668621268225e-221,9.083215053771212e-221,0.3946253436594135
0.12885438618239387,2,2.637165771922233e-25,4.345915266071166e-25,0.6068148158595618
0.12885438618239387,0,2.637165771922233e-25,,
